numar angajati,capital social,an infiintare,numar produse,domeniu de activitate,tara,clienti,parteneri,venit
102.0,264396.6438547062,1977.0,95.0,Retail,Germania,794.0,16.0,1510653.180837953
76.0,151713.04901719987,1972.0,24.0,Retail,Italia,304.0,8.0,744273.3952923839
107.0,338214.2189791298,2017.0,62.0,Retail,Romania,525.0,6.0,919928.531387478
87.0,490541.501828664,2015.0,47.0,Agricultura,Franta,855.0,10.0,991921.5809509052
94.0,321571.8932195204,1978.0,87.0,Educatie,Spania,466.0,16.0,731398.0871436627
87.0,211016.337851097,1999.0,27.0,IT,Germania,533.8480947476828,11.0,1077317.154743652
137.0,341517.8506957377,2022.0,1.0,Educatie,Romania,366.0,13.0,702683.032813082
99.0,105314.3053094244,1980.0,17.0,Financiar,Italia,223.0,6.0,798965.158141351
78.0,449896.5861194294,2004.0,35.0,Agricultura,Italia,519.0,1.0,710830.3613373261
116.0,276387.7778509264,2006.0,32.0,Agricultura,Romania,394.0,19.0,576955.1111403706
75.0,252207.3839178389,2011.0,79.0,Retail,Germania,494.0,12.0,1048494.2024909846
104.0,313639.15480408364,1982.0,68.0,Retail,Spania,67.0,6.0,727741.8421706952
100.40596094552929,331152.7382552311,2005.0,30.0,Financiar,Germania,119.0,18.0,806398.9918122604
100.40596094552929,82299.11280193087,1982.0,46.0,Agricultura,Franta,387.0,13.0,530035.5386570041
103.0,357177.7495505311,1981.0,10.0,IT,Germania,677.0,7.0,1841886.6370280576
114.0,158869.25614198833,2006.0,89.0,Educatie,Franta,641.0,13.0,905503.5148430632
103.0,371278.6846279654,1979.0,93.0,Agricultura,Italia,576.0,8.0,803173.7686214234
97.0,420140.6574728885,1978.0,98.0,IT,Franta,737.0,17.0,1820462.1410360665
93.0,411781.32839863416,2021.0,86.0,Retail,Spania,505.0,9.0,1238144.5959288734
70.0,298625.4353335501,1976.0,18.0,Educatie,Germania,533.8480947476828,13.0,522281.4459000975
85.0,284076.451539838,1971.0,5.0,IT,Franta,680.0,2.0,1546424.540251342
90.0,114294.18260273528,2023.0,58.0,Financiar,Germania,860.0,4.0,1388927.706168489
121.0,398905.767681411,1992.0,91.0,IT,Franta,237.0,2.0,1396108.123489376
106.0,172134.22120102146,2008.0,18.0,Financiar,Italia,618.0,4.0,1145144.692536797
64.0,273512.9402680759,2009.0,1.0,Retail,Franta,760.0,18.0,1448375.1167613743
106.0,177923.34181738252,2008.0,80.0,Retail,Spania,578.0,5.0,947709.4055994723
92.0,110222.76334986193,1990.0,8.0,IT,Franta,483.0,19.0,1221892.1942661153
86.0,333300.96360128146,1992.0,41.0,Financiar,Spania,337.0,10.0,909695.1889749162
112.0,74449.41567030673,1998.0,68.0,IT,Germania,967.0,18.0,1893621.886453822
120.0,386890.35535679,1983.0,24.0,IT,Italia,616.0,10.0,1644201.3198211112
118.0,270572.452888099,1995.0,9.0,IT,Romania,548.0,5.0,1139185.5434006269
100.40596094552929,50060.6118520184,2020.0,77.0,Financiar,Germania,490.0,10.188308329022245,984675.1567853368
93.0,280008.1126567534,1974.0,63.0,IT,Germania,533.8480947476828,13.0,1885808.518289591
106.0,71083.3588374214,2000.0,98.0,Educatie,Romania,352.0,17.0,514387.5114768397
119.0,174276.30101940478,1994.0,35.0,Educatie,Franta,136.0,9.0,646001.6360963518
90.0,368139.41935507226,2000.0,7.0,Financiar,Franta,879.0,10.188308329022245,1572662.809355036
96.0,78210.32972983964,2019.0,50.11865284974093,Retail,Franta,487.0,14.0,921344.0571892748
77.0,427702.32156020106,1989.0,52.0,Educatie,Italia,590.0,14.0,853039.2536425085
76.0,51718.9651963624,2013.0,50.11865284974093,Agricultura,Germania,71.0,8.0,346482.62050996296
116.0,161070.741140856,1996.1912908242614,50.11865284974093,Educatie,Spania,882.0,10.188308329022245,904400.0168647238
127.0,383406.82526843215,2014.0,21.0,Agricultura,Romania,846.0,19.0,820562.7301073729
98.0,192321.56737818805,1971.0,26.0,Retail,Germania,609.0,14.0,1388042.626314151
120.0,95851.5746297061,1994.0,10.0,Retail,Franta,566.0,9.0,1140244.2282111708
107.0,212105.2634601925,1982.0,40.0,Agricultura,Romania,811.0,7.0,706042.1053840771
100.40596094552929,171676.9788730365,2008.0,42.0,Agricultura,Spania,724.0,8.0,645777.8707041361
107.0,429220.3559722497,1997.0,51.0,Educatie,Germania,552.0,14.0,1075548.8242625173
130.0,191006.5629133144,2011.0,71.0,Agricultura,Germania,763.0,14.0,1002403.675231456
99.0,405019.6122992032,1975.0,90.0,Financiar,Italia,516.0,11.0,1276875.2975933785
131.0,451342.4651648306,1972.0,14.0,Financiar,Germania,150.0,14.0,1384421.643299996
47.0,245217.83880943828,2004.0,6.0,Financiar,Germania,632.0,8.0,1107668.233316589
116.0,459474.4147344764,1987.0,2.0,Educatie,Spania,991.0,3.0,1103094.835293566
101.0,219793.1242834368,1980.0,15.0,Retail,Spania,724.0,18.0,1106023.4620270682
94.0,483835.2874205487,2023.0,66.0,Educatie,Romania,734.0,3.0,806325.8793392469
101.0,90180.2860365078,1989.0,73.0,Financiar,Franta,190.0,13.0,831632.3417008492
60.0,359158.66992645926,1974.0,78.0,Educatie,Spania,187.0,12.0,510918.54161359736
95.0,272216.3182056179,1988.0,25.0,Financiar,Romania,627.0,15.0,1022590.6068336515
107.0,224441.9624550412,1991.0,31.0,IT,Germania,759.0,18.0,1815914.060577793
129.0,334720.3454368704,1988.0,48.0,IT,Romania,889.0,5.0,1561290.2590776528
89.0,366735.69123544905,2016.0,7.0,Agricultura,Romania,277.0,7.0,483894.2764941797
83.0,51963.47134263909,1985.0,61.0,Retail,Romania,330.0,11.0,589178.0828055834
89.0,125128.88993623944,1993.0,98.0,IT,Romania,533.8480947476828,11.0,1108596.6674521796
118.0,370870.7227854434,2010.0,36.0,Financiar,Spania,877.0,15.0,1441347.5667915922
106.0,349873.4361101929,1973.0,75.0,Educatie,Franta,480.0,10.0,930075.960124463
89.0,484721.3773079048,1984.0,50.0,Educatie,Romania,89.0,15.0,548874.6197885572
110.0,392467.00561285234,1994.0,13.0,Agricultura,Italia,568.0,13.0,820064.1626941692
101.0,477847.7184791021,2013.0,58.0,Educatie,Germania,735.0,14.0,1178634.062641834
119.0,366143.2256906632,2004.0,30.0,IT,Germania,712.0,17.0,1961550.386975196
85.0,184123.4938877494,1983.0,4.0,Educatie,Germania,260.0,13.0,670397.8011492821
93.0,97414.2150128854,2018.0,63.0,IT,Germania,351.0,10.0,1092434.9257635295
92.0,401820.738505221,1988.0,86.0,IT,Germania,533.8480947476828,1.0,1223061.775430482
70.0,339867.14966416213,2007.0,35.0,Retail,Romania,446.0,1.0,746320.2897984973
105.0,71683.70557698331,2005.0,39.0,Agricultura,Franta,302.0,15.0,558315.5269000314
105.0,212022.70965544024,1976.0,89.0,Financiar,Italia,582.0,16.0,1212137.7135312434
100.0,270572.452888099,1999.0,81.0,IT,Spania,818.0,10.188308329022245,1629011.9314985415
95.0,275180.51556959056,1988.0,50.11865284974093,Agricultura,Italia,533.8480947476828,6.0,898166.6474734034
71.0,244728.11120886708,2018.0,25.0,Financiar,Spania,964.0,6.0,1187420.59951434
91.0,255964.8223216823,1994.0,91.0,Educatie,Spania,430.0,12.0,652392.5870492328
93.0,143997.22580232366,1985.0,16.0,Agricultura,Italia,493.0,15.0,626398.6683851155
83.0,215918.22688915784,2016.0,63.0,Agricultura,Romania,82.0,4.0,328767.2907556632
96.0,216415.96519422947,1996.1912908242614,3.0,Agricultura,Germania,309.0,4.0,623512.9405087684
108.0,73559.75908436258,2009.0,64.0,Educatie,Romania,283.0,2.0,468251.8915879632
137.0,395405.4328330632,2020.0,28.0,Educatie,Germania,564.0,12.0,1143705.4226848297
103.0,237426.99435674556,1977.0,45.0,Agricultura,Franta,908.0,7.0,974182.0370655076
105.0,270572.452888099,1987.0,35.0,Retail,Spania,357.0,9.0,990647.426384478
98.0,432656.60050395294,1997.0,18.0,IT,Italia,788.0,9.0,1694390.9404535575
61.0,145397.32461439614,1985.0,62.0,Educatie,Franta,845.0,8.0,849652.4348994216
99.0,345809.06697655784,2021.0,88.0,Retail,Germania,533.8480947476828,14.0,919639.6162603088
101.0,262526.8118733418,1988.0,95.0,Educatie,Romania,503.0,1.0,651387.0653430038
149.0,446070.5320646683,2011.0,20.0,Agricultura,Italia,488.0,12.0,902433.8553910408
96.0,147083.30562940435,1986.0,72.0,Retail,Spania,874.0,2.0,1108194.9817154068
106.0,355015.9401395199,2014.0,66.0,Financiar,Franta,413.0,13.0,1226953.4694178945
99.0,323488.45501372515,1982.0,34.0,IT,Spania,815.0,4.0,1506852.9753863234
76.0,182885.66490732477,1976.0,50.11865284974093,IT,Germania,530.0,18.0,1368029.948152691
122.0,111470.40664302769,1996.0,69.0,Retail,Spania,193.0,19.0,560572.8512882987
115.0,343237.89221477445,1979.0,50.11865284974093,IT,Romania,73.0,16.0,922678.4191610808
115.0,382368.8561595488,2003.0,63.0,Financiar,Franta,474.0,14.0,1367521.6834548188
81.0,192032.3046935075,2005.0,44.0,Retail,Franta,795.0,8.0,1192645.1976609358
128.0,340174.6718100412,1994.0,52.0,Retail,Romania,894.0,12.0,1252904.8030860247
71.0,227808.9084251765,1975.0,20.0,Agricultura,Spania,224.0,9.0,438155.9197070777
111.0,370943.097477178,1993.0,75.0,Retail,Romania,893.0,6.0,1203565.8584863069
143.0,139646.87370232388,1987.0,74.0,Educatie,Italia,374.0,18.0,801169.311799255
80.0,450596.7511862785,1992.0,15.0,Retail,Romania,918.0,2.0,1247087.888271081
88.0,179334.3184095109,1975.0,87.0,Agricultura,Germania,720.0,8.0,679067.1001001848
101.0,215503.6944902688,1998.0,27.0,Educatie,Romania,909.0,14.0,815626.662520621
89.0,76141.3784361574,1994.0,98.0,Educatie,Germania,397.0,6.0,681119.0684147791
68.0,100180.49554457435,1986.0,38.0,Educatie,Romania,847.0,10.0,653931.2229950584
101.0,282137.8562205477,2015.0,18.0,Retail,Romania,67.0,8.0,743353.3921654108
78.0,170416.70452758716,1993.0,35.0,Educatie,Germania,93.0,17.0,410561.2687411557
109.0,425966.1015839875,1980.0,44.0,IT,Italia,204.0,12.0,1258169.4914255887
81.0,270572.452888099,1995.0,7.0,Retail,Italia,916.0,17.0,1117880.657924205
130.0,220592.32190237127,2020.0,58.0,IT,Germania,971.0,13.0,1656263.6655694563
84.0,270572.452888099,2003.0,60.0,Educatie,Spania,426.0,19.0,600833.7205428154
93.0,58697.43391292047,1997.0,74.0,Financiar,Spania,792.0,10.188308329022245,1064418.665247738
116.0,105965.7795502296,1972.0,3.0,Financiar,Germania,932.0,16.0,1703488.8593907089
75.0,236139.20371338588,1980.0,54.0,Retail,Franta,877.0,5.0,1297248.5788964408
104.0,271789.06300135097,2007.0,6.0,Educatie,Romania,451.0,16.0,636655.078350608
126.0,231930.3862646911,1983.0,70.0,IT,Spania,274.0,6.0,1120292.5686683704
67.0,288921.95528544224,2020.0,6.0,Financiar,Spania,266.0,11.0,707079.1980290913
103.0,317809.2537075567,1995.0,91.0,Agricultura,Spania,617.0,17.0,724596.0716313251
105.0,54465.71950752603,2017.0,70.0,Educatie,Italia,80.0,14.0,436571.488534064
115.0,258842.82175407675,1990.0,51.0,Educatie,Spania,918.0,6.0,964677.196768268
75.0,483574.65839941474,2023.0,44.0,Agricultura,Romania,108.0,11.0,427029.8633597659
73.0,283564.5260582969,2008.0,13.0,Financiar,Spania,941.0,12.0,1230203.6361316824
110.0,354894.0203565289,1999.0,29.0,Agricultura,Romania,947.0,13.0,815957.6081426116
105.0,190338.73606259745,1977.0,50.11865284974093,Retail,Germania,402.0,4.0,1114124.5382925817
105.0,398296.12016874313,2020.0,90.0,IT,Franta,984.0,7.0,1985388.7171645248
106.0,397814.6668442518,1989.0,1.0,Retail,Germania,494.0,2.0,1443433.2001598263
86.0,284583.22144436254,2017.0,59.0,Financiar,Romania,284.0,6.0,723179.0939388357
104.0,489206.2204756461,2001.0,72.0,Agricultura,Germania,156.0,6.0,744355.4834663619
105.0,106497.59664319402,1991.0,62.0,Educatie,Franta,240.0,18.0,632091.0940362687
85.0,57626.44920031145,1976.0,9.0,Educatie,Franta,579.0,8.0,737466.4727821823
137.0,396571.1952906932,1978.0,22.0,Educatie,Franta,962.0,8.0,1339984.1492450556
109.0,413219.9918141972,1996.1912908242614,25.0,Retail,Romania,787.0,8.0,1135331.995088518
76.0,104093.25310425932,1970.0,83.0,Retail,Germania,728.0,8.0,1187838.3326075778
113.0,169512.27483137272,1998.0,46.0,Educatie,Spania,632.0,1.0,760078.5760415295
80.0,57898.56351498301,1977.0,49.0,Financiar,Germania,923.0,2.0,1420417.6927986343
115.0,181988.8748512541,2023.0,93.0,Retail,Germania,615.0,12.0,1272590.654875053
123.0,397913.8432634022,1973.0,50.11865284974093,Retail,Germania,294.0,15.0,1313687.6283412576
83.0,283082.23747066053,1996.1912908242614,89.0,Retail,Romania,911.0,4.0,1306561.6781029955
119.0,206643.01692572964,1972.0,46.0,IT,Romania,125.0,3.0,868232.2626942971
108.0,217282.68270784864,2023.0,15.0,Retail,Germania,596.0,14.0,970633.7437601016
116.0,50609.13157196067,2014.0,93.0,Retail,Germania,316.0,8.0,924511.6705204468
137.0,184910.23740435616,2009.0,46.0,Retail,Romania,366.0,13.0,858546.1424426137
95.0,340906.4337370687,1976.0,18.0,Agricultura,Franta,861.0,19.0,992111.3455432758
84.0,488387.4997173607,1996.0,30.0,Financiar,Romania,170.0,5.0,799751.8748162845
82.0,431177.3721427548,1970.0,6.0,Financiar,Italia,885.0,13.0,1516458.3502713488
83.0,60617.734090488106,1996.1912908242614,47.0,Agricultura,Romania,74.0,1.0,277047.09363619523
98.0,454352.2721036777,1996.1912908242614,85.0,Agricultura,Romania,481.0,16.0,654140.9088414712
106.0,402439.2859843817,2007.0,93.0,Retail,Romania,209.0,2.0,965579.4644882862
105.0,270572.452888099,1976.0,93.0,Financiar,Romania,645.0,7.0,1162310.0161445118
116.0,256098.09155160715,2013.0,13.0,Financiar,Italia,163.0,6.0,897856.5114102535
100.0,229102.38182952628,1992.0,38.0,Agricultura,Spania,784.0,5.0,743205.0480049916
129.0,186312.0779749367,2010.0,3.0,Educatie,Romania,533.8480947476828,4.0,876290.4350887216
94.0,79562.6865294646,1980.0,85.0,Educatie,Franta,551.0,2.0,753809.1716197368
154.0,152705.9135721646,2011.0,36.0,IT,Italia,215.0,10.188308329022245,1205735.3222149482
112.0,160971.63574011106,2022.0,63.0,Educatie,Spania,752.0,5.0,792480.9596913551
82.0,267834.6813695907,2002.0,71.0,Educatie,Romania,224.0,18.0,479625.6066163158
78.0,386349.9829685123,2019.0,43.0,Educatie,Spania,50.0,10.0,463493.2415694136
109.0,263214.422779076,1996.1912908242614,31.0,Retail,Franta,948.0,15.0,1509467.2497676793
95.0,76030.00225122226,2006.0,96.0,IT,Italia,790.0,9.0,1342827.0020261
114.0,481005.4104446917,2010.0,96.0,Agricultura,Italia,135.0,10.188308329022245,648962.5970134521
109.0,474225.9435923505,1996.1912908242614,29.0,Educatie,Spania,623.0,17.0,922296.8420782136
98.0,403335.2944167838,2004.0,48.0,Retail,Romania,369.0,9.0,852201.1766500702
83.0,270572.452888099,2017.0,97.0,Educatie,Germania,450.0,16.0,940021.4600934568
69.0,295017.0497601184,1974.0,1.0,Retail,Italia,431.0,6.0,902892.2758272853
91.0,483245.7576139427,2017.0,41.0,IT,Germania,767.0,11.0,1925958.0454946395
117.0,84022.26827753785,2001.0,10.0,Educatie,Italia,666.0,17.0,828372.0248698705
104.0,214556.3367176171,1972.0,51.0,Retail,Romania,367.0,4.0,791733.8020305703
100.40596094552929,151421.57060304465,2021.0,3.0,Financiar,Romania,852.0,15.0,969424.0208919792
103.0,138124.8878604215,2016.0,41.0,Financiar,Italia,299.0,1.0,838597.4125311289
107.0,113361.32700170424,2004.0,22.0,Retail,Spania,574.0,1.0,906418.4758211249
82.0,330086.1387046985,1996.1912908242614,53.0,Educatie,Romania,533.8480947476828,9.0,707438.7624171143
103.0,401594.8350862873,1983.0,99.0,Educatie,Romania,604.0,12.0,779217.6757888292
101.0,310234.2797391623,2017.0,80.0,IT,Franta,947.0,10.188308329022245,1840053.4227456837
77.0,116133.21931469436,2000.0,84.0,IT,Romania,672.0,13.0,994599.9144860208
107.0,415005.6964700619,2000.0,63.0,Agricultura,Franta,766.0,7.0,981242.9621644324
111.0,336179.6182236778,1986.0,5.0,IT,Romania,945.0,8.0,1530884.7136677585
121.0,224674.567757148,1993.0,21.0,Educatie,Romania,305.0,13.0,605553.5554907166
121.0,270572.452888099,2021.0,92.0,Agricultura,Spania,356.0,11.0,644757.7985161406
72.0,166957.2406592748,1992.0,37.0,IT,Spania,999.0,9.0,1387614.7235439017
81.0,205336.49382239472,1987.0,11.0,Retail,Romania,193.0,16.0,595401.8962934369
110.0,462868.6294093956,2019.0,70.0,Financiar,Italia,707.0,10.0,1452257.5309393287
100.40596094552929,180727.0275521392,2023.0,30.0,IT,Italia,440.0,11.0,1176054.3247969253
110.0,261494.72067107147,1983.0,27.0,IT,Romania,862.0,12.0,1418621.0405033035
177.0,450563.5118282066,2019.0,50.11865284974093,Retail,Italia,725.0,14.0,1639845.7285163084
111.0,368474.60762038734,1984.0,85.0,Educatie,Romania,218.0,19.0,617613.5734291744
122.0,77991.45177411624,1984.0,41.0,Retail,Spania,347.0,12.0,833574.3581709167
119.0,116286.36992553664,1975.0,98.0,IT,Germania,282.0,18.0,1310700.6884218135
113.0,53528.71584736257,1996.0,65.0,Educatie,Franta,952.0,17.0,1038684.2987707072
93.0,333914.8056031235,1984.0,74.0,Agricultura,Italia,320.0,3.0,623959.1066894992
115.0,251453.04143468823,2019.0,4.0,IT,Italia,109.0,1.0,958007.7372912192
84.0,110423.68290602398,2005.0,13.0,Retail,Spania,345.0,19.0,684699.6307179758
95.0,481070.3544755467,1977.0,63.0,Agricultura,Italia,516.0,4.0,802113.7701482624
90.0,288346.87577552896,1984.0,90.0,Financiar,Romania,284.0,16.0,797125.469254094
101.0,158851.98235080013,1972.0,62.0,Agricultura,Romania,726.0,12.0,648340.7929403201
146.0,275271.6070196184,2016.0,14.0,Retail,Germania,755.0,13.0,1638228.1498964794
62.0,355829.1497307985,1982.0,12.0,Retail,Germania,283.0,17.0,633264.3238492472
113.0,84307.648088104,2010.0,84.0,Retail,Germania,417.0,8.0,1029258.4243940074
67.0,173616.7167715514,2003.0,14.0,IT,Romania,744.0,13.0,1042212.5375786636
90.0,413134.4708977972,1993.0,52.0,Educatie,Germania,894.0,5.0,1210314.716665612
121.0,256849.19168119755,2009.0,4.0,Financiar,Germania,281.0,18.0,1211982.76442989
101.0,295959.7139145327,2001.0,8.0,Educatie,Romania,922.0,15.0,855881.8712615398
78.0,244767.2009942612,2001.0,67.0,Educatie,Spania,533.8480947476828,12.0,655759.7644921592
85.0,69754.9741893523,1999.0,69.0,Educatie,Italia,668.0,17.0,720227.6860622502
113.0,124587.40091907016,2021.0,34.0,Retail,Franta,552.0,15.0,1086218.1727168746
85.0,250493.7374338509,2018.0,22.0,Retail,Romania,939.0,2.0,1030496.2424603103
104.0,144133.45943356754,1982.0,81.0,Financiar,Romania,784.0,6.0,1072586.748631819
100.0,72490.56289685544,1970.0,50.11865284974093,Retail,Germania,641.0,17.0,1136842.639059547
86.0,429642.3488233207,2003.0,54.0,Retail,Franta,795.0,16.0,1416981.03208219
142.0,491536.63812385214,1984.0,96.0,Retail,Germania,430.0,17.0,1587210.7760240356
112.0,406914.2932985327,2013.0,15.0,Retail,Franta,745.0,9.0,1455413.1487728555
59.0,434203.2147671002,1983.0,94.0,IT,Italia,477.0,5.0,1223282.8932903905
103.0,158889.70864267042,1998.0,19.0,Financiar,Italia,746.0,1.0,1231533.972741283
86.0,482282.1389809399,2003.0,57.0,Retail,Italia,695.0,6.0,1259483.1400662763
117.0,138616.5670040428,1987.0,38.0,Financiar,Italia,781.0,14.0,1345980.9222631534
84.0,478143.4146628245,2023.0,96.0,Agricultura,Italia,849.0,17.0,897188.8390381559
97.0,497668.682284678,1976.0,28.0,IT,Germania,413.0,19.0,1710102.116398912
110.0,270572.452888099,1998.0,40.0,Retail,Romania,251.0,10.188308329022245,802365.1575514331
117.0,491514.6793063199,2000.0,98.0,IT,Franta,931.0,1.0,2122101.812323662
75.0,306292.9008051966,1994.0,54.0,IT,Romania,195.0,13.0,779469.6756038974
93.0,166793.80242924066,2007.0,50.0,Agricultura,Franta,885.0,10.188308329022245,870372.7772632053
90.0,246648.14854952935,1996.1912908242614,26.0,Financiar,Germania,688.0,6.0,1429289.8151800716
86.0,317102.4209204537,1977.0,70.0,IT,Germania,506.0,6.0,1519457.5419664762
135.0,82886.70291215675,1996.0,2.0,Educatie,Spania,184.0,1.0,562758.9179415177
108.0,330054.4690777608,2023.0,5.0,Agricultura,Spania,533.8480947476828,14.0,741423.9663942149
74.0,491530.02654303255,1971.0,50.11865284974093,Educatie,Germania,313.0,3.0,858393.9167221105
118.0,135548.44240267744,1986.0,34.0,Agricultura,Germania,113.0,10.0,590547.1277454994
142.0,406667.8023297725,2006.0,95.0,Educatie,Franta,540.0,19.0,1096680.6643629172
120.0,270572.452888099,1983.0,90.0,Educatie,Germania,696.0,19.0,1257829.308036522
69.0,474665.71676909935,1994.0,71.0,IT,Romania,90.0,19.0,808999.2875768244
90.0,482061.02198245126,1999.0,81.0,IT,Franta,345.0,4.0,1391384.49643289
100.40596094552929,284656.8374246624,1998.0,67.0,Agricultura,Germania,52.0,19.0,660047.828957811
85.0,489788.5585961767,1989.0,13.0,Financiar,Franta,962.0,10.0,1735451.3320137693
108.0,390789.5932104975,1990.0,76.0,IT,Franta,755.0,2.0,1821094.853380235
115.0,122752.14630663286,2022.0,21.0,IT,Italia,159.0,4.0,887176.9316759695
81.0,264605.04791058647,1991.0,33.0,Retail,Spania,270.0,6.0,726399.331620987
98.0,373249.0289174018,2004.0,82.0,IT,Franta,419.0,7.0,1400342.8031944667
35.0,161303.1421185875,2006.0,54.0,Financiar,Franta,417.0,16.0,725266.1550902065
79.0,338276.8325969993,1985.0,86.0,Retail,Italia,485.0,7.0,1001719.3194698396
94.0,349970.21557097865,2019.0,22.0,Educatie,Germania,967.0,18.0,1215251.2358097164
75.0,123214.88471385466,2018.0,61.0,Educatie,Franta,53.0,19.0,396755.707557605
132.0,304288.39060374035,2012.0,9.0,Retail,Italia,293.0,9.0,1031967.6412346928
71.0,397232.1099403735,1986.0,64.0,Retail,Romania,951.0,10.0,1123339.265964224
91.0,274503.0490411739,1985.0,76.0,Retail,Italia,215.0,13.0,821882.1953096451
102.0,55446.40254924834,1971.0,58.0,Agricultura,Spania,75.0,18.0,390036.4171216693
128.0,54067.31108568148,1973.0,27.0,Financiar,Spania,444.0,16.0,1002478.1274262622
71.0,210663.2047865055,1990.0,4.0,Financiar,Germania,523.0,17.0,1149933.51635572
123.0,466787.3307943019,2008.0,12.0,Educatie,Germania,66.0,13.0,838396.0184004101
100.0,152904.55082162394,2003.0,62.0,Educatie,Spania,777.0,12.0,790962.752656704
80.0,335463.6599922592,1999.0,93.0,Educatie,Spania,141.0,10.0,509089.5116961684
109.0,149934.14181199425,1975.0,21.0,IT,Franta,532.0,1.0,1401985.7882666944
103.0,194751.49534679687,1986.0,73.0,Educatie,Spania,592.0,8.0,741881.9901966646
87.0,431618.9403206678,2008.0,86.0,Retail,Germania,254.0,18.0,1073199.909869361
101.0,377987.6490214761,1994.0,52.0,Educatie,Spania,551.0,2.0,792488.8862656308
92.0,270572.452888099,1974.0,67.0,Retail,Germania,980.0,16.0,1477500.9268243934
102.0,270572.452888099,1974.0,81.0,Agricultura,Romania,449.0,12.0,571966.3637775581
113.0,63126.39364036901,1989.0,26.0,IT,Spania,256.0,9.0,896879.2747533047
131.0,266400.565971354,1985.0,30.0,IT,Germania,668.0,3.0,1896720.5942699213
75.0,348095.30526548065,2020.0,1.0,Financiar,Italia,195.0,4.0,788654.338107075
142.0,103326.1806191682,2010.0,96.0,Agricultura,Franta,928.0,2.0,997009.6139219676
60.0,179998.22250912455,2006.0,91.0,Retail,Germania,150.0,10.188308329022245,624958.5069076646
96.0,229026.48147597065,2009.0,76.0,Agricultura,Spania,929.0,10.0,785851.6518494273
111.0,463788.9610952224,1978.0,8.0,Retail,Spania,879.0,16.0,1761200.8929035584
105.0,496964.7569403338,1974.0,45.0,Retail,Romania,929.0,11.0,1307978.8541642004
87.0,70210.08454802714,2011.0,11.0,Agricultura,Italia,290.0,10.188308329022245,454180.84058305307
100.40596094552929,392453.5655729264,1971.0,2.0,IT,Germania,972.0,10.188308329022245,2173976.2438515723
90.0,217275.82988105447,1978.0,62.0,Retail,Italia,808.0,8.0,1206198.597514359
88.0,226606.183803266,2012.0,96.0,Retail,Romania,212.0,15.0,613563.7102819596
116.0,389419.2380061602,2005.0,90.0,IT,Franta,933.0,17.0,2040108.7570560065
107.0,463291.8944654339,1991.0,69.0,Retail,Germania,222.0,18.0,1030530.1640151124
86.0,477917.8675261468,1991.0,10.0,IT,Romania,551.0,6.0,1218688.4006446102
117.0,309705.16371724434,1991.0,28.0,Educatie,Germania,596.0,14.0,1073334.2531418635
106.0,210704.52168522627,2003.0,32.0,Educatie,Franta,333.0,3.0,719377.1451858574
116.0,404397.0886364506,1998.0,76.0,Retail,Spania,533.8480947476828,7.0,1040422.0785000576
